name	session	legislatorID	wnom_stderr	wnom_adj	adj_mean
Dunnam	80	10055	0.0416	-0.89607301	-0.74391088
Dunnam	81	10055	0.0604	-0.831415756	-0.74391088
Dutton	72	5498	0.0893	-0.7157	-0.804384698
Dutton	73	5498	0.0948	-0.895691193	-0.804384698
Dutton	74	5498	0.0733	-1.035366201	-0.804384698
Dutton	75	5498	0.1064	-0.785538895	-0.804384698
Dutton	76	5498	0.0846	-0.774007883	-0.804384698
Dutton	77	5498	0.1496	-1.016858496	-0.804384698
Dutton	78	5498	0.0541	-0.642292201	-0.804384698
Dutton	79	5498	0.091	-0.758685589	-0.804384698
Dutton	80	5498	0.04	-0.696337952	-0.804384698
Dutton	81	5498	0.071	-0.723368568	-0.804384698
Edwards	72	5499	0.0901	-0.5778	-0.625083738
Edwards	73	5499	0.0898	-0.49568796	-0.625083738
Edwards	74	5499	0.0788	-0.988107241	-0.625083738
Edwards	75	5499	0.1053	-0.748385443	-0.625083738
Edwards	76	5499	0.0899	-0.776610637	-0.625083738
Edwards	77	5499	0.1121	-0.538498415	-0.625083738
Edwards	78	5499	0.0512	-0.418095367	-0.625083738
Edwards	79	5499	0.1075	-0.518992692	-0.625083738
Edwards	81	5499	0.1037	-0.56357589	-0.625083738
Eiland	74	5501	0.0667	-0.172890166	-0.4039584
Eiland	75	5501	0.0744	-0.271533272	-0.4039584
Eiland	76	5501	0.0762	-0.297812328	-0.4039584
Eiland	77	5501	0.1141	-0.392969424	-0.4039584
Eiland	78	5501	0.0539	-0.3967336	-0.4039584
Eiland	79	5501	0.1075	-0.409700446	-0.4039584
Eiland	80	5501	0.0411	-0.609292475	-0.4039584
Eiland	81	5501	0.0772	-0.680735491	-0.4039584
Eissler	78	49519	0.0753	0.773382634	0.733888103
Eissler	79	49519	0.0506	0.781477891	0.733888103
Eissler	80	49519	0.0632	0.76236606	0.733888103
Eissler	81	49519	0.1604	0.618325828	0.733888103
Elkins	74	5502	0.0644	0.821446809	0.682034194
Elkins	75	5502	0.0705	0.894193436	0.682034194
Elkins	76	5502	0.0773	0.6904751	0.682034194
Elkins	77	5502	0.0825	0.535418515	0.682034194
Elkins	78	5502	0.1216	0.38612431	0.682034194
Elkins	79	5502	0.0522	0.616575178	0.682034194
Elkins	80	5502	0.064	0.67772848	0.682034194
Elkins	81	5502	0.1098	0.834311723	0.682034194
England	80	59353	0.0541	0.00761074	-0.319747803
England	81	59353	0.0856	-0.647106346	-0.319747803
Farabee	76	25518	0.0788	-0.280026841	-0.269348316
Farabee	77	25518	0.1078	-0.307295878	-0.269348316
Farabee	78	25518	0.0625	-0.226958411	-0.269348316
Farabee	79	25518	0.1041	-0.321195156	-0.269348316
Farabee	80	25518	0.0485	-0.132047287	-0.269348316
Farabee	81	25518	0.1516	-0.348566325	-0.269348316
Farias	80	59398	0.0408	-0.945555294	-0.89483167
Farias	81	59398	0.0609	-0.844108046	-0.89483167
Farrar	74	5503	0.069	-1.045915077	-1.006779495
Farrar	75	5503	0.1069	-0.819323767	-1.006779495
Farrar	76	5503	0.0854	-0.862284626	-1.006779495
Farrar	77	5503	0.1519	-1.016858496	-1.006779495
Farrar	78	5503	0.0798	-0.995880311	-1.006779495
Farrar	79	5503	0.0231	-1.212998456	-1.006779495
Farrar	80	5503	0.046	-1.167804188	-1.006779495
Farrar	81	5503	0.062	-0.933171039	-1.006779495
Fletcher	81	102070	0.0714	0.982388441	0.982388441
Flores	75	10025	0.096	-0.667935835	-0.62348515
Flores	76	10025	0.0851	-0.650268614	-0.62348515
Flores	77	10025	0.1292	-0.772988651	-0.62348515
Flores	78	10025	0.054	-0.370997757	-0.62348515
